Order ID,Order Date,CustomerName,State,City,YearMonth,Amount,Profit,Quantity,Year,Month,DayOfWeek
B-25601,2018-04-01,Bharat,Gujarat,Ahmedabad,2018-04,1060,-31,5,2018,2018-04,Sunday
B-25602,2018-04-01,Pearl,Maharashtra,Pune,2018-04,3972,1216,3,2018,2018-04,Sunday
B-25603,2018-04-03,Jahan,Madhya Pradesh,Bhopal,2018-04,3292,745,4,2018,2018-04,Tuesday
B-25604,2018-04-03,Divsha,Rajasthan,Jaipur,2018-04,666,594,9,2018,2018-04,Tuesday
B-25605,2018-04-05,Kasheen,West Bengal,Kolkata,2018-04,4626,433,9,2018,2018-04,Thursday
B-25606,2018-04-06,Hazel,Karnataka,Bangalore,2018-04,3644,1017,2,2018,2018-04,Friday
B-25607,2018-04-06,Sonakshi,Jammu and Kashmir,Kashmir,2018-04,3371,1340,8,2018,2018-04,Friday
B-25608,2018-04-08,Aarushi,Tamil Nadu,Chennai,2018-04,3119,-172,8,2018,2018-04,Sunday
B-25609,2018-04-09,Jitesh,Uttar Pradesh,Lucknow,2018-04,330,988,7,2018,2018-04,Monday
B-25610,2018-04-09,Yogesh,Bihar,Patna,2018-04,1885,1245,8,2018,2018-04,Monday
B-25611,2018-04-11,Anita,Kerala ,Thiruvananthapuram,2018-04,969,138,3,2018,2018-04,Wednesday
B-25612,2018-04-12,Shrichand,Punjab,Chandigarh,2018-04,2591,1471,6,2018,2018-04,Thursday
B-25613,2018-04-12,Mukesh,Haryana,Chandigarh,2018-04,2633,1319,1,2018,2018-04,Thursday
B-25614,2018-04-13,Vandana,Himachal Pradesh,Simla,2018-04,1384,1188,7,2018,2018-04,Friday
B-25615,2018-04-15,Bhavna,Sikkim,Gangtok,2018-04,4755,1165,1,2018,2018-04,Sunday
B-25616,2018-04-15,Kanak,Goa,Goa,2018-04,3585,299,9,2018,2018-04,Sunday
B-25617,2018-04-17,Sagar,Nagaland,Kohima,2018-04,4317,1480,1,2018,2018-04,Tuesday
B-25618,2018-04-18,Manju,Andhra Pradesh,Hyderabad,2018-04,3104,310,1,2018,2018-04,Wednesday
B-25619,2018-04-18,Ramesh,Gujarat,Ahmedabad,2018-04,674,1150,7,2018,2018-04,Wednesday
B-25620,2018-04-20,Sarita,Maharashtra,Pune,2018-04,1282,16,2,2018,2018-04,Friday
B-25621,2018-04-20,Deepak,Madhya Pradesh,Bhopal,2018-04,2758,1124,5,2018,2018-04,Friday
B-25622,2018-04-22,Monisha,Rajasthan,Jaipur,2018-04,2247,955,8,2018,2018-04,Sunday
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,2018-04,2947,893,8,2018,2018-04,Sunday
B-25624,2018-04-22,Vini,Karnataka,Bangalore,2018-04,1175,1075,3,2018,2018-04,Sunday
B-25625,2018-04-23,Pinky,Jammu and Kashmir,Kashmir,2018-04,2006,1238,7,2018,2018-04,Monday
B-25626,2018-04-23,Bhishm,Maharashtra,Mumbai,2018-04,389,244,3,2018,2018-04,Monday
B-25627,2018-04-23,Hitika,Madhya Pradesh,Indore,2018-04,2934,675,6,2018,2018-04,Monday
B-25628,2018-04-24,Pooja,Bihar,Patna,2018-04,3205,1005,6,2018,2018-04,Tuesday
B-25629,2018-04-24,Hemant,Kerala ,Thiruvananthapuram,2018-04,4858,-34,3,2018,2018-04,Tuesday
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,2018-04,2099,-110,7,2018,2018-04,Tuesday
B-25631,2018-04-24,Ritu,Haryana,Chandigarh,2018-04,1467,513,3,2018,2018-04,Tuesday
B-25632,2018-04-25,Manish,Himachal Pradesh,Simla,2018-04,1728,1354,8,2018,2018-04,Wednesday
B-25633,2018-04-26,Amit,Sikkim,Gangtok,2018-04,3402,-162,4,2018,2018-04,Thursday
B-25634,2018-04-26,Sanjay,Goa,Goa,2018-04,3756,949,1,2018,2018-04,Thursday
